hour,B(t)
0,22.152842857142854
1,22.072828571428573
2,22.507214285714287
3,22.370028571428573
4,21.535585714285713
5,20.278200000000002
6,18.735042857142854
7,21.135514285714287
8,23.844600000000003
9,24.759071428571435
10,28.531214285714288
11,30.714499999999994
12,27.651057142857145
13,29.239928571428575
14,26.14217142857143
15,24.244685714285716
16,25.627814285714287
17,25.2963
18,22.46148571428571
19,21.215542857142857
20,20.483957142857143
21,20.586814285714286
22,20.884042857142862
23,21.04407142857143
