hour,B(t)
0,21.101200000000002
1,20.118157142857143
2,20.335342857142855
3,20.392528571428574
4,20.746857142857145
5,20.998328571428573
6,21.07834285714286
7,22.25572857142857
8,27.94824285714285
9,23.94747142857143
10,28.199728571428572
11,27.776800000000005
12,26.51938571428571
13,26.279357142857144
14,27.2281
15,27.70822857142857
16,28.759842857142853
17,29.125628571428575
18,27.15952857142857
19,22.667185714285715
20,23.433085714285713
21,22.907271428571423
22,21.969942857142858
23,21.99281428571428
