hour,B(t)
0,26.08501428571429
1,26.587999999999997
2,27.422428571428572
3,27.959671428571426
4,27.84537142857143
5,27.971114285714286
6,27.502428571428574
7,27.056657142857144
8,27.159528571428574
9,28.942714285714285
10,29.582842857142857
11,30.42874285714286
12,29.902914285714285
13,29.765757142857137
14,29.685728571428573
15,30.028671428571432
16,28.5998
17,30.222971428571434
18,27.811057142857145
19,26.290771428571425
20,24.59902857142857
21,24.576157142857145
22,24.644757142857145
23,24.599028571428573
