hour,B(t)
0,24.604749999999996
1,24.964816666666664
2,24.724766666666667
3,25.071499999999997
4,24.844783333333336
5,24.538083333333333
6,23.964650000000002
7,24.244666666666664
8,25.978333333333335
9,24.498066666666674
10,25.72496666666667
11,32.006166666666665
12,31.926150000000003
13,31.539416666666668
14,31.792783333333336
15,30.925983333333335
16,31.752799999999997
17,31.979499999999998
18,30.952633333333335
19,29.9658
20,28.712233333333334
21,27.058549999999997
22,24.924799999999994
23,24.364683333333332
