hour,B(t)
0,224.0861
1,225.65782857142858
2,215.98454285714283
3,230.01581428571427
4,214.7700142857143
5,261.6504857142857
6,292.74221428571434
7,474.5344285714286
8,423.1673857142857
9,390.3324714285714
10,357.32609999999994
11,343.0947714285714
12,322.74798571428573
13,340.15135714285714
14,332.00692857142855
15,345.48095714285716
16,356.01154285714284
17,369.07121428571423
18,397.56242857142854
19,412.67962857142857
20,418.79511428571425
21,422.3815
22,395.99071428571426
23,274.6815857142857
