hour,B(t)
0,237.66014285714283
1,241.33228571428572
2,237.3886714285714
3,248.4336571428571
4,237.37439999999998
5,278.89667142857144
6,333.06427142857143
7,509.18397142857145
8,443.31412857142857
9,388.8750285714286
10,352.65378571428573
11,334.47882857142855
12,326.3915571428571
13,333.9930142857143
14,331.14962857142854
15,343.5377142857143
16,353.4539142857143
17,363.3272571428571
18,388.3749428571429
19,407.5214857142858
20,407.65009999999995
21,420.80978571428574
22,387.5890857142858
23,267.1944142857143
