hour,B(t)
0,65.90344516508571
1,68.06421578080001
2,62.83817789552857
3,66.87496715662857
4,63.022427446500004
5,72.03400901130001
6,85.6267466595143
7,132.98778643084285
8,115.71838935305716
9,107.09625727997145
10,97.9004261642
11,96.07883499024287
12,95.04870298542858
13,94.12743848365714
14,94.68439061205713
15,96.84097449920002
16,97.99254675295715
17,99.0896789751
18,101.31745399487143
19,106.35086887202858
20,108.00913157768572
21,110.11965307708572
22,102.82077424955716
23,74.38321590655714
