hour,B(t)
0,63.466304409642866
1,65.47213676111429
2,61.86248173560001
3,66.85820768215714
4,63.19411262502858
5,70.57674695762857
6,80.63520744152858
7,130.2156487754857
8,116.65220985381428
9,104.03515999207141
10,100.03187711972858
11,97.0419793379143
12,94.68439061205716
13,95.86109161070002
14,93.80500176945714
15,96.65671657477142
16,97.66591493672858
17,102.57789793840001
18,106.5979402852143
19,108.0091357644143
20,110.93622005747143
21,113.44455613227144
22,104.41622765318573
23,72.71238882845715
