hour,B(t)
0,133.62250000000003
1,128.89899999999997
2,126.51057142857142
3,123.42595714285713
4,121.43572857142858
5,131.5593714285714
6,140.28448571428572
7,194.43892857142856
8,194.91504285714285
9,192.1721
10,192.48214285714286
11,195.7610714285714
12,190.89427142857144
13,188.50622857142858
14,186.5324142857143
15,182.31862857142855
16,178.2546857142857
17,180.26422857142853
18,190.75381428571427
19,198.49285714285716
20,200.6404428571429
21,198.5138857142857
22,191.38905714285713
23,138.39828571428572
