hour,B(t)
0,0.7830647783571428
1,0.9212645017714285
2,0.7495667630571429
3,0.8710070120000001
4,0.7453842212142857
5,0.7118778324571429
6,0.8249404375285715
7,0.5820683131
8,0.5820641263714286
9,0.5653130253571429
10,0.862633554857143
11,0.6448734284000001
12,1.0887545782714285
13,1.222759199657143
14,1.2060039119142856
15,1.2981370608571432
16,1.2269459282285715
17,1.3190707037142857
18,1.118074238457143
19,1.2060080986428574
20,0.9798870752285714
21,1.0803769344
22,0.854251724257143
23,0.8416873518142858
