hour,B(t)
0,3.8435857142857146
1,2.886271428571429
2,3.5578142857142856
3,2.600485714285714
4,3.872185714285714
5,2.5004714285714287
6,3.072
7,2.4290142857142856
8,2.557628571428572
9,2.657657142857143
10,2.729085714285714
11,4.672342857142857
12,4.400842857142857
13,6.172628571428571
14,6.615542857142857
15,7.6300285714285705
16,6.386957142857142
17,6.101171428571429
18,4.586614285714285
19,4.4580142857142855
20,4.057928571428571
21,3.3292142857142855
22,3.9150142857142853
23,2.8862428571428573
