hour,B(t)
0,132.7798857142857
1,130.9967
2,128.07044285714284
3,130.49375714285716
4,130.1279857142857
5,126.2415
6,125.92144285714286
7,127.38457142857143
8,126.97307142857143
9,128.39047142857143
10,129.76217142857143
11,129.57928571428573
12,132.77991428571428
13,129.12205714285716
14,127.52172857142855
15,133.6029142857143
16,131.3624714285714
17,132.00261428571426
18,130.63091428571428
19,129.4878714285714
20,129.94507142857142
21,129.71647142857142
22,129.3506857142857
23,129.99077142857143
