hour,B(t)
0,37.54713029001429
1,37.69452825610001
2,37.975930843571426
3,38.37793633427144
4,37.93572987582858
5,37.97593921702857
6,38.36453461611429
7,37.962537498871434
8,37.73472922384286
9,37.962529125414285
10,38.4449365516
11,39.91894551955715
12,39.436546466828574
13,39.021147631428576
14,38.82014697944286
15,39.03454934958571
16,38.632539672157144
17,38.190329026985715
18,37.45332244964286
19,37.14511642585715
20,37.54712610328572
21,37.8017336279
22,38.08313621537143
23,38.176935682285716
