hour,B(t)
0,135.20322857142858
1,136.39202857142857
2,138.44955714285715
3,138.9525142857143
4,138.99825714285714
5,138.58675714285715
6,136.75782857142858
7,136.6663714285714
8,136.84924285714285
9,137.03215714285716
10,142.19887142857144
11,138.67818571428572
12,138.03805714285713
13,136.07197142857143
14,136.02627142857145
15,135.0203285714286
16,132.73417142857141
17,131.68257142857144
18,129.25922857142857
19,127.24742857142859
20,128.93914285714285
21,129.625
22,124.64120000000003
23,132.7799
