hour,B(t)
0,112.10734285714285
1,109.80690000000001
2,107.74937142857142
3,105.66325714285715
4,104.66304285714286
5,104.33441428571427
6,103.76288571428573
7,101.47672857142857
8,104.14865714285715
9,104.1058
10,103.92005714285715
11,106.77772857142858
12,106.7205857142857
13,106.16334285714285
14,106.82061428571426
15,108.39234285714285
16,108.44950000000001
17,112.17881428571427
18,115.2651
19,114.16485714285716
20,113.60764285714286
21,113.63621428571427
22,113.23614285714287
23,113.00752857142858
