hour,B(t)
0,31.548904747214294
1,30.786769424985714
2,29.752450691600007
3,29.337880828457145
4,29.141071091771433
5,28.847941477571432
6,28.475251460328572
7,28.00624993902857
8,28.433375801157144
9,28.64694919904286
10,28.7725678031
11,29.069884145871434
12,29.266698069285717
13,29.966011529300008
14,30.028825018057148
15,30.20051438331428
16,30.45595088018572
17,31.322771163614284
18,32.03047064095715
19,31.624265861499996
20,31.703843011457145
21,31.86296381754286
22,31.339518077900003
23,31.36883773808572
