hour,B(t)
0,32.58321929387143
1,31.98859498178572
2,31.594962948228577
3,30.89145438618571
4,30.5480798424
5,30.405701763871434
6,29.681263745700004
7,29.308573728457144
8,29.4551301621
9,29.639383899800006
10,29.589130596757148
11,30.1083854211
12,30.69045792092857
13,31.10082849531429
14,30.786769424985717
15,30.975205704528573
16,31.197148372828572
17,32.143533246028575
18,33.22809690900001
19,33.66360460172857
20,33.47935505075715
21,33.58404419868572
22,32.89310419581429
23,32.520405805114294
