hour,B(t)
0,31.674523351271432
1,30.870524930057144
2,30.397328306728575
3,29.882260210957146
4,29.438379061085715
5,29.291814253985713
6,28.835381291857146
7,28.730687957199997
8,29.18294256421429
9,28.014623396171434
10,29.182946750942858
11,29.379756487628573
12,29.60588169777143
13,30.0497712211
14,30.04976284764286
15,30.112576336399997
16,30.690457920928573
17,32.05977774095715
18,33.14854069268572
19,32.90566019480001
20,32.53715690612858
21,32.60834803875714
22,32.16028016031429
23,31.967652965471434
