hour,B(t)
0,15.728387892499999
1,15.167257408985718
2,15.083501903914286
3,14.413499730628573
4,13.81887960527143
5,13.333118609500003
6,13.056744283042859
7,13.08186465447143
8,12.403484837314284
9,12.47048505464286
10,13.207495818714287
11,14.957887486585713
12,16.490519027999998
13,16.725017695285715
14,17.1102762717
15,17.386654784885714
16,17.76352734397143
17,17.822162477614285
18,18.215777764257147
19,17.411779343042856
20,16.97627583704286
21,16.582639616757145
22,15.8707617843
23,15.560881069085713
