hour,B(t)
0,17.34478331244286
1,17.00139620847143
2,15.761885907800004
3,14.941132198842856
4,14.589384197914288
5,14.304628040857148
6,13.919369464442857
7,13.659746239
8,13.592737648214287
9,15.158879765114287
10,16.59939071777143
11,18.0566611449
12,19.128664622157146
13,19.321296003728573
14,19.966181992314286
15,19.673044004657147
16,19.32966946087143
17,20.85393173187143
18,20.91255849205714
19,20.493801900342863
20,20.35980146568571
21,18.768538977357142
22,19.04491749054286
23,18.182283935685714
