hour,B(t)
0,58.63987142857143
1,55.83935714285714
2,54.78201428571429
3,52.438700000000004
4,49.066628571428566
5,49.152342857142855
6,47.609199999999994
7,46.294628571428575
8,45.75170000000001
9,50.29542857142858
10,55.153485714285715
11,61.69761428571428
12,64.95537142857142
13,66.69857142857143
14,66.87004285714286
15,66.35565714285714
16,64.15525714285715
17,67.84165714285714
18,68.01314285714287
19,66.4128
20,64.84108571428571
21,63.983757142857144
22,63.183614285714285
23,63.869457142857144
