hour,B(t)
0,143.11331428571427
1,136.49775714285713
2,132.53272857142858
3,130.92527142857142
4,130.84665714285714
5,131.47537142857144
6,127.83181428571427
7,131.20388571428572
8,132.33980000000003
9,133.03995714285716
10,135.6904857142857
11,142.29888571428572
12,145.47092857142857
13,141.42012857142856
14,146.564
15,144.59932857142857
16,145.44235714285713
17,146.40682857142858
18,151.41492857142856
19,157.54468571428575
20,161.8883857142857
21,160.0308714285714
22,157.47325714285714
23,154.35120000000003
