hour,B(t)
0,43.6299486836
1,41.8272103484
2,39.76484878775715
3,38.50440065750001
4,38.502307293214294
5,38.13589736882857
6,38.47299181975715
7,39.21419349912857
8,38.68655265745714
9,38.257329244314285
10,36.84194703654286
11,38.24267988104287
12,39.241407234842846
13,41.31004888834286
14,40.32598764472857
15,41.488018346457146
16,40.279912696800004
17,41.033674561885725
18,42.509781080857145
19,44.084292468171434
20,44.33763978748572
21,44.750112099614284
22,43.22165472658572
23,42.86781754810001
