hour,B(t)
0,23.61770849027143
1,22.809519153757144
2,21.967819241757145
3,21.49881353372857
4,21.130314431785717
5,21.247563765428573
6,20.8832430186
7,20.171365186142857
8,20.142049712685715
9,20.8413631727
10,21.55325356534286
11,22.28188249881428
12,24.069963097285722
13,23.843837887142858
14,24.48452458697143
15,23.45858349745715
16,23.521396986214288
17,22.926764300671433
18,23.337147435242862
19,22.985386874128576
20,22.939324486385715
21,22.545692452828575
22,22.74669310481429
23,22.411692018171433
