hour,B(t)
0,22.935133571085714
1,22.286073414114288
2,20.96699433694286
3,20.422619141171428
4,20.451926241171428
5,20.066680224942854
6,20.09599151167143
7,19.5725415853
8,20.556611202371432
9,21.532319922485716
10,22.72575946195715
11,23.684704520871428
12,25.024717240899996
13,25.31366012652858
14,25.56490989482857
15,25.966915385528576
16,25.196410792885718
17,24.760898913428573
18,25.447660561185717
19,24.99959268274286
20,24.928405736842855
21,24.886538451128576
22,24.643649579785713
23,24.9912192256
