hour,B(t)
0,20.4896193585
1,20.51473972992857
2,20.045738208628574
3,19.756799509728573
4,19.14960663847143
5,19.178917925200004
6,19.103540064000004
7,18.65966310085715
8,18.353977487671425
9,19.04491749054286
10,20.041555666785715
11,20.946048133900003
12,22.654568329328573
13,22.449380948771427
14,23.039826905742864
15,23.508832613771432
16,22.721568546657146
17,22.059944017242863
18,22.725763648685717
19,21.88405954995714
20,22.252571212085712
21,21.863134280557148
22,21.938499581571424
23,21.565817937785717
