hour,B(t)
0,24.396590726785718
1,23.621899405571433
2,22.177189164157145
3,21.687254
4,21.24756376542857
5,21.2601323246
6,20.83718481758572
7,20.37236583812857
8,20.904176661457143
9,21.930130311157146
10,23.341329977085714
11,25.439287104042858
12,25.694731974371425
13,25.895724252900003
14,26.75835362102858
15,28.05230395331429
16,27.168736755600005
17,27.323675019842856
18,27.612613718742857
19,27.156180756614283
20,26.98447883117143
21,27.01798521992857
22,26.54479278332857
23,26.724855605728568
