hour,B(t)
0,117.2655
1,116.07954285714287
2,115.63658571428572
3,115.03650000000002
4,113.22184285714287
5,111.0357142857143
6,110.1784142857143
7,109.04960000000001
8,109.1639142857143
9,108.3494857142857
10,107.79222857142857
11,106.63487142857143
12,106.87775714285713
13,108.0208142857143
14,109.82119999999999
15,111.06428571428572
16,111.86442857142858
17,116.26528571428571
18,120.9805
19,121.40912857142858
20,122.1950142857143
21,122.89515714285717
22,121.89492857142857
23,121.73778571428572
