hour,B(t)
0,117.6227
1,114.2649
2,112.02161428571428
3,110.16409999999999
4,108.52094285714286
5,108.89242857142857
6,108.23518571428572
7,105.9918857142857
8,107.5350142857143
9,108.87814285714288
10,108.73527142857142
11,110.90711428571429
12,113.42190000000001
13,114.73641428571429
14,115.35082857142858
15,114.86502857142857
16,115.6223142857143
17,117.4798142857143
18,121.20911428571428
19,121.45201428571428
20,119.69452857142856
21,120.05174285714286
22,118.69432857142858
23,118.53717142857144
