hour,B(t)
0,122.65225714285714
1,120.9662
2,118.07992857142858
3,116.1652857142857
4,113.99344285714287
5,113.60762857142858
6,112.03592857142857
7,109.62115714285714
8,109.69259999999998
9,109.99265714285714
10,110.42129999999999
11,113.99344285714287
12,114.19347142857143
13,115.92235714285712
14,118.40857142857145
15,118.83721428571427
16,119.8088142857143
17,123.08088571428571
18,124.56689999999999
19,122.55222857142859
20,122.46648571428571
21,123.23805714285713
22,121.62347142857142
23,120.53752857142857
