hour,B(t)
0,118.46571428571428
1,115.67947142857143
2,113.67907142857145
3,111.5358142857143
4,110.17840000000001
5,110.00694285714285
6,107.66362857142857
7,107.03494285714285
8,110.49275714285714
9,112.86464285714284
10,110.32128571428572
11,111.57868571428573
12,112.47885714285714
13,113.60767142857142
14,113.33617142857143
15,114.7792857142857
16,115.35084285714287
17,117.40837142857143
18,120.46610000000001
19,119.53735714285713
20,119.95171428571429
21,121.4662857142857
22,119.58021428571429
23,119.15154285714286
