hour,B(t)
0,98.61332857142858
1,93.35517142857144
2,90.08594285714285
3,88.69138571428573
4,88.81712857142858
5,88.37134285714285
6,86.47384285714288
7,84.95354285714288
8,86.74817142857144
9,88.19988571428571
10,92.06348571428573
11,97.33304285714284
12,100.23649999999999
13,101.53959999999998
14,104.2944142857143
15,103.92864285714283
16,106.1576142857143
17,104.47731428571429
18,109.24392857142858
19,103.6657142857143
20,102.54551428571428
21,104.28298571428572
22,105.4032
23,103.41425714285712
