hour,B(t)
0,28.197198255714287
1,27.925843816814286
2,27.65449775137143
3,26.863884301400002
4,25.72486804662857
5,24.94431949214286
6,24.64282060752857
7,24.391562465771432
8,24.465257262085718
9,24.937616539700006
10,25.966082226542863
11,26.35467762562857
12,26.327874189314286
13,27.12183702214286
14,27.0481380391
15,27.39989860021429
16,27.10508592112857
17,28.016293900871432
18,28.401544103828574
19,29.225655569100002
20,28.45514678972857
21,26.61933748554286
22,26.37143291337143
23,26.023025921842862
