hour,B(t)
0,15.185679014700002
1,14.753524891557145
2,14.30127447127143
3,13.738469296328573
4,13.105314521200002
5,12.934462501657146
6,12.763606295385715
7,11.597803351214285
8,10.552590750085715
9,11.185749711942858
10,11.839000784214287
11,12.964615320828573
12,13.35656010277143
13,13.607818244528575
14,14.130422451728574
15,14.492235348142858
16,14.512327458557142
17,14.642978510357144
18,16.50224605472857
19,15.989689996100001
20,16.090184042
21,16.110288712600003
22,15.74848837637143
23,15.859038944300005
