hour,B(t)
0,15.61783313784286
1,14.994726511285714
2,14.311322619842857
3,13.788718412642854
4,13.637975250428573
5,13.557564941485714
6,13.125415005071428
7,12.251058610214288
8,11.487248596557146
9,11.979708358042858
10,12.140503855557144
11,13.095266372628574
12,14.220872535785713
13,14.884180130085715
14,15.346478698942857
15,15.838938460428574
16,16.2308874291
17,16.472093235557143
18,18.12031197937143
19,18.12030779264286
20,17.909254805357143
21,17.8188047213
22,17.587655436871433
23,16.874094539528574
