hour,B(t)
0,52.947357142857136
1,50.75264285714286
2,48.866571428571426
3,47.52917142857143
4,45.84884285714286
5,44.13421428571429
6,43.3455
7,39.74481428571428
8,35.66401428571429
9,37.96161428571428
10,40.32778571428571
11,40.670700000000004
12,41.69947142857143
13,42.38531428571429
14,42.11098571428571
15,43.41408571428571
16,43.208328571428574
17,44.854371428571426
18,51.54137142857143
19,52.12434285714286
20,52.43297142857143
21,50.718357142857144
22,49.00374285714286
23,48.28359999999999
