hour,B(t)
0,7.056835675357142
1,6.755332604014287
2,6.529207393871429
3,6.395206959214286
4,6.535906159585715
5,6.579452323457143
6,17.2861481788
7,19.629502027514288
8,17.462028459357143
9,16.46539865657143
10,15.048337570642857
11,13.544167410057144
12,13.842316911814288
13,13.195764605257144
14,12.981366421842859
15,12.870815853914289
16,13.101965138342859
17,13.396765257242858
18,15.019867816357145
19,15.716660865771429
20,16.167240781357144
21,14.653026658928573
22,13.830589885085713
23,8.257819699714286
