hour,B(t)
0,19.809542857142855
1,19.63808571428572
2,20.032442857142858
3,19.535185714285713
4,20.569685714285715
5,20.941185714285716
6,49.60384285714285
7,54.68484285714285
8,59.84582857142857
9,58.62274285714285
10,57.056742857142865
11,56.42802857142857
12,55.873642857142855
13,54.58197142857143
14,52.14718571428572
15,53.638928571428565
16,53.976142857142854
17,51.03271428571429
18,55.359257142857146
19,57.068157142857146
20,56.83952857142857
21,56.57091428571429
22,55.404985714285715
23,32.96635714285714
