hour,B(t)
0,14.455379576528575
1,14.2418145521
2,14.212499078642859
3,14.191569622514285
4,14.300441312285715
5,14.405130460214286
6,20.514743916657146
7,22.42007384877143
8,24.29190157885714
9,25.732412531514285
10,26.16372930894286
11,26.62435318637143
12,26.858860227114288
13,26.51129476802857
14,26.08417309262857
15,25.23828226532857
16,24.70646306854286
17,23.9778383218
18,23.20732116897143
19,22.67969707421429
20,22.487069879371433
21,22.386567460014287
22,16.5952039892
23,14.631259857085714
