hour,B(t)
0,14.38837517247143
1,14.241818738828572
2,14.103619015414285
3,14.183187791914284
4,14.103623202142856
5,14.220872535785714
6,20.4854284432
7,21.758440945900002
8,20.954434151228572
9,20.698997654357147
10,20.866496104314287
11,20.874869561457142
12,21.00886999611429
13,21.318750711328573
14,21.515564634742862
15,21.52394227861429
16,21.599311766357143
17,22.344691800842863
18,22.792768052742854
19,22.499630065085718
20,22.361447088585717
21,22.340509259000005
22,16.591025634085717
23,14.765251918285713
