hour,B(t)
0,2.8972714285714285
1,2.918271428571429
2,2.9920142857142857
3,3.038442857142857
4,3.0798857142857137
5,3.0863285714285715
6,3.004585714285714
7,2.4274714285714287
8,1.4322857142857142
9,1.3604285714285715
10,1.3354142857142857
11,1.4425571428571426
12,1.5588714285714287
13,1.7674714285714288
14,1.6662
15,1.9293571428571425
16,1.8468000000000002
17,2.3081714285714283
18,3.0156999999999994
19,2.9698428571428575
20,3.106157142857143
21,2.898971428571429
22,2.8865285714285718
23,2.900257142857143
