hour,B(t)
0,1.0649320927
1,1.020247138657143
2,1.050739082842857
3,1.015440774257143
4,1.001988815357143
5,1.0091523079428573
6,0.9824744734857144
7,0.8018255090857143
8,0.7010760727428572
9,0.8914884881714287
10,1.2914006145857144
11,1.2112959368285714
12,1.6802514041142858
13,1.6933181839857148
14,2.090835501657143
15,2.3188070591
16,2.0763033667857145
17,2.1492906059714287
18,2.473623908214286
19,2.331827784957143
20,2.166711583557143
21,1.8308773379285714
22,1.4254764103571433
23,1.0167302866571428
