hour,B(t)
0,16.511757142857142
1,16.42602857142857
2,16.563185714285712
3,16.614628571428568
4,16.59748571428571
5,16.700371428571426
6,16.6832
7,15.191485714285713
8,14.711414285714286
9,14.934314285714283
10,15.122914285714286
11,15.020042857142856
12,15.140057142857144
13,15.1915
14,15.122928571428572
15,15.002914285714287
16,14.985771428571427
17,15.191500000000001
18,16.786085714285715
19,16.87184285714286
20,16.837542857142857
21,16.734642857142855
22,16.90611428571429
23,17.094714285714282
