hour,B(t)
0,8.006574118142856
1,7.7854687955571436
2,7.718468578228573
3,7.684970562928572
4,7.584463956842859
5,7.490672863385716
6,10.264489396900002
7,21.72159773447143
8,22.74670147827143
9,22.532294921400002
10,22.163795819457146
11,21.882389045257145
12,21.192282201371427
13,20.87737741187143
14,20.207371051857145
15,20.2006806596
16,19.510569628985714
17,19.550770596728572
18,20.65627627601429
19,12.06009773334286
20,8.388474938242856
21,8.100373585057143
22,7.939569714085715
23,7.792171748000001
