hour,B(t)
0,7.068562702085714
1,7.028361734342858
2,6.92116054927143
3,6.994855345585715
4,6.9010600654
5,7.222663620614286
6,9.654788675228573
7,20.140366647799997
8,22.31119797227143
9,23.52390902335714
10,22.87400314721429
11,22.170490398442862
12,21.607689410228573
13,21.185583435657144
14,20.488782012785716
15,19.92597683784286
16,19.79867935562857
17,18.626160898828573
18,18.699864068599997
19,12.066804872514286
20,9.447085070799998
21,9.085276361114285
22,8.408571235385715
23,8.046770899157144
