hour,B(t)
0,46.61231035398572
1,46.46155881831429
2,46.35100406365716
3,46.350999876928576
4,46.16005574697143
5,46.310803095914295
6,46.2505016443
7,46.29070679877144
8,48.069568220928566
9,49.00422188067143
10,50.51173723738572
11,51.18509716698571
12,51.47655208975715
13,51.76800701252857
14,51.69765322561428
15,51.48659605159999
16,50.692645778957136
17,49.768036081057154
18,48.50172234407143
19,47.71782022000001
20,47.175111342200005
21,46.5118037479
22,46.43140599914286
23,46.23040116042858
