hour,B(t)
0,45.80831193277144
1,45.57715008815713
2,45.67765250751428
3,45.888697121342865
4,45.989207914157134
5,46.02940050844286
6,46.01935235987143
7,46.481655115457144
8,48.49167838222858
9,49.82833334594286
10,50.622291992042854
11,50.632340140614296
12,50.129840604014284
13,50.43134367535714
14,50.77304352771428
15,50.592143359600016
16,49.677590183728576
17,48.572071944257154
18,47.396220851514286
19,46.53190423177143
20,46.16005574697142
21,46.411309702000004
22,46.11984640577144
23,46.2806586502
