hour,B(t)
0,46.82336334127144
1,46.77311003822858
2,46.32085543121429
3,46.1399552631
4,45.68769646935715
5,45.63745153977144
6,45.818343334428576
7,46.451510669742866
8,48.149970156414284
9,50.11979245544286
10,51.38609363224287
11,51.84840476128572
12,51.86850943188573
13,53.396121085742855
14,52.069501710414286
15,52.51170398212857
16,51.215241612700005
17,49.848429643085716
18,48.461525563057144
19,47.63742247124286
20,46.79321470882858
21,46.552008902371426
22,46.17010808227143
23,46.089701960057155
