hour,B(t)
0,111.95797860514287
1,107.73694816652858
2,104.68841525107142
3,98.82586902108571
4,101.5393882897143
5,122.57757375928573
6,135.8101857627
7,135.27418402407142
8,132.1586550780143
9,136.11168883404287
10,136.1116972075
11,141.63924235084286
12,144.2857655888714
13,143.04625110147143
14,145.35776906612858
15,143.95076031550002
16,144.52026006942856
17,143.4147627636
18,141.70623838144286
19,141.20373465811429
20,139.46172482084287
21,138.72471405677143
22,132.46015814935714
23,114.63800404519999
