hour,B(t)
0,111.15397181047145
1,107.40193870642858
2,103.68340361768573
3,101.87439356308572
4,102.61139595370001
5,123.28108232132858
6,137.48520375610002
7,135.94419038408574
8,137.65270639278575
9,138.95921691078573
10,140.93573378880004
11,144.52026844288574
12,145.79328094558574
13,147.26728572681432
14,145.6927743395
15,144.38625963477142
16,145.9942732241143
17,143.71626164821427
18,147.26728572681432
19,145.96077520881428
20,145.2907730355286
21,142.00774145278572
22,139.83021554932859
23,124.68809525868573
