hour,B(t)
0,113.06349265788572
1,108.33995012248572
2,102.34339508438572
3,98.42385934365714
4,101.90788739165714
5,121.67306454525715
6,137.18370068475716
7,138.52371340478572
8,138.08820989878572
9,144.1852631695143
10,150.3493124708429
11,153.79984250354286
12,157.68587604224285
13,157.04937607098572
14,152.1918331009286
15,153.7663403015143
16,154.30234622687144
17,153.6658462556143
18,156.11136884165717
19,156.84837541899998
20,155.03935699094288
21,151.92382385815716
22,145.65928051092857
23,129.27762898597143
