hour,B(t)
0,36.37294551524287
1,36.703764060042865
2,37.11413882115715
3,38.24477743205715
4,37.83858521278571
5,37.50775829452857
6,38.814277185985716
7,38.40808915344286
8,38.56721414625714
9,38.91058450331429
10,38.73889932478572
11,39.17858955935714
12,37.62082508632857
13,37.210446138485715
14,36.821013393685725
15,34.73562063917144
16,34.35874389335715
17,35.35536532268572
18,37.90976378522857
19,37.2648861701
20,37.98514164642857
21,37.62920273020001
22,38.278275447357146
23,36.69956477128572
