hour,B(t)
0,134.61171428571427
1,133.2400142857143
2,135.3689857142857
3,136.62637142857142
4,139.39834285714286
5,133.99730000000002
6,139.15542857142856
7,141.09865714285715
8,140.06988571428573
9,135.72618571428572
10,131.2253142857143
11,132.66845714285714
12,129.02488571428572
13,127.42459999999998
14,123.73815714285715
15,120.43752857142856
16,118.93722857142858
17,128.13902857142858
18,131.66827142857142
19,135.2261
20,131.93974285714287
21,135.3404142857143
22,130.1536857142857
23,129.2535
