hour,B(t)
0,36.34781677035715
1,36.89220033958571
2,37.26907289867143
3,37.50777085471429
4,37.83858521278572
5,38.17777721472857
6,39.249784878714294
7,38.416458423857144
8,39.18278466138571
9,37.030387502814285
10,37.587327071028575
11,37.0513253324
12,35.912313264357145
13,35.27999583494286
14,34.56810962902858
15,33.72642227721429
16,32.905664381528574
17,36.1426293898
18,37.38213969047143
19,38.20290177288572
20,38.77659244211429
21,39.291656351157144
22,39.668537283700005
23,39.89466668057143
