hour,B(t)
0,41.3351734465
1,41.36029800465714
2,41.959117418771434
3,42.03449527997144
4,42.05542892282858
5,41.56129865664286
6,42.21874483094286
7,40.19197883661429
8,39.727164043885715
9,37.650144746514286
10,38.20709268818571
11,37.001076216085714
12,35.56474780527144
13,35.39725354204286
14,34.781674653457145
15,33.8939249139
16,33.06478518761429
17,35.74062808582858
18,38.357827476942866
19,38.952460162485714
20,39.982596354028566
21,38.86034794718571
22,39.47171917355714
23,39.09065569917143
