hour,B(t)
0,38.26989780348572
1,38.437396253442856
2,38.72633495234286
3,38.52114757178571
4,39.04878004
5,37.43657553535714
6,37.901394514814285
7,39.371216754200006
8,39.59315523577143
9,37.96421219030001
10,38.516960843214285
11,38.44577808404286
12,38.470898455471435
13,38.10658608210001
14,37.87626576992858
15,36.20125614998572
16,35.208808889042864
17,37.83439429748572
18,38.30758254735715
19,38.55464558708571
20,37.4826379231
21,37.96420800357142
22,37.419824434342864
23,36.74144461718572
