hour,B(t)
0,122.72367142857145
1,127.18165714285715
2,127.5246285714286
3,127.12452857142856
4,130.31087142857143
5,128.7819857142857
6,135.49757142857143
7,140.62714285714284
8,140.74145714285714
9,133.35431428571428
10,132.1112142857143
11,133.25427142857143
12,133.01138571428572
13,132.35408571428573
14,128.21044285714285
15,124.95268571428572
16,121.8235142857143
17,128.4248
18,131.46824285714285
19,133.72581428571428
20,130.35372857142858
21,128.42478571428572
22,127.4531857142857
23,128.35332857142856
