hour,B(t)
0,12.212536520628573
1,12.775337508842856
2,12.840663034742859
3,13.075165888757144
4,13.4319421507
5,14.259402998828573
6,14.17900525007143
7,13.304640481757144
8,14.827228061328574
9,14.251029541685716
10,13.140487227928572
11,13.892578588314285
12,14.12539837744286
13,13.90597611974286
14,13.436962038257146
15,12.879185124328572
16,11.91605333684286
17,11.110371850742856
18,11.100323702171428
19,11.512373154714286
20,12.001479346614286
21,12.391761997314287
22,12.445356309757143
23,12.467135671785716
