hour,B(t)
0,12.237661078785715
1,11.895957039700003
2,12.076857207814287
3,12.493934921371428
4,13.50564532047143
5,12.97466765612857
6,12.465456793628572
7,13.440315607842859
8,15.006457724742857
9,13.656392669414288
10,13.100286260185715
11,12.8892332729
12,12.904309682485714
13,12.128781015557143
14,11.741851934442858
15,11.688257622
16,11.686578743842857
17,10.988094256085716
18,10.179063387128574
19,10.215914972014287
20,10.264489396900002
21,10.911054263642857
22,11.505678575728572
23,11.770325875457145
