hour,B(t)
0,12.855735257600003
1,12.880864002485717
2,12.753553960085716
3,13.532444570057143
4,13.721718195314287
5,13.515693469042859
6,13.11201747364286
7,13.5274246825
8,13.065117740185716
9,12.133805089842857
10,11.463798729828572
11,11.869153603385715
12,11.72342195527143
13,11.261119199685712
14,11.251066864385715
15,11.172347993785715
16,11.262798077842858
17,11.346549396185717
18,11.450401198400002
19,12.396786071600001
20,12.158938021457145
21,12.095283000257144
22,12.147206808000002
23,13.112013286914289
