hour,B(t)
0,11.555923505314285
1,11.708353919142857
2,11.428630209828572
3,11.94118208172857
4,13.524075299642858
5,12.045029697214286
6,12.731787158242858
7,12.962932255942857
8,14.828906939485716
9,13.046687761014287
10,13.168969542400003
11,13.393420061114286
12,12.999792214285716
13,11.921081597857142
14,11.87417767767143
15,12.128781015557143
16,12.021575643757142
17,10.971347341800001
18,9.817267237628572
19,10.28291937607143
20,10.195814488142856
21,10.914395273042858
22,11.11539592502857
23,11.706679227714288
