hour,B(t)
0,14.681504786671429
1,14.668944600957142
2,14.715002801971428
3,14.698255887685715
4,14.72338044584286
5,14.677318058100003
6,14.509815421414286
7,8.362508847642857
8,6.4781209318428585
9,6.448805458385715
10,6.4655523726714295
11,6.524183319585714
12,6.402743070642858
13,6.42368090022857
14,6.4781209318428585
15,6.574432435900001
16,6.549307877742858
17,7.395194518314285
18,14.480504134685715
19,14.715002801971432
20,14.773629562157142
21,14.756882647871427
22,14.668944600957145
23,14.664753685657145
