hour,B(t)
0,14.874131981514285
1,14.828069593771428
2,14.773629562157144
3,14.777820477457142
4,14.82387867847143
5,14.79876249377143
6,14.668944600957143
7,8.68914066387143
8,7.294696285685715
9,7.3700615866999994
10,6.942935724571429
11,6.984807197014286
12,7.374248315271429
13,6.8926907949857155
14,6.8759355072428585
15,7.608759542742858
16,7.449630363200001
17,8.232703515014286
18,15.163062306957144
19,15.200763797742857
20,15.041634618200002
21,14.983007858014286
22,14.828077967228571
23,14.727571361142859
