hour,B(t)
0,36.10695714285715
1,35.99265714285714
2,35.821171428571425
3,35.76402857142857
4,35.64971428571429
5,35.67831428571428
6,35.77832857142857
7,31.206014285714282
8,16.560342857142857
9,16.260314285714287
10,16.331757142857143
11,16.460357142857145
12,16.48887142857143
13,16.54607142857143
14,16.688942857142855
15,16.660357142857144
16,16.631800000000002
17,24.919071428571424
18,36.72137142857143
19,36.50704285714286
20,36.22125714285714
21,36.164114285714284
22,35.078199999999995
23,35.93548571428571
